sample_id,cluster_id
AN0277-C,cluster_1
AN0278-C,cluster_1
AN0279-C,cluster_1
AN0280-C,cluster_1
AN0281-C,cluster_1
AN0282-Cx,cluster_1
AN0283-Cx,cluster_1
AN0284-Cx,cluster_1
AN0285-C,cluster_1
AN0286-Cx,cluster_1
AN0287-Cx,cluster_1
AN0288-Cx,cluster_1
AN0289-C,cluster_1
AN0290-Cx,cluster_1
AN0291-Cx,cluster_1
AN0292-C,cluster_1
AN0293-Cx,cluster_1
AN0294-C,cluster_1
AN0295-C,cluster_1
AN0296-Cx,cluster_1
AN0297-C,cluster_1
AN0298-Cx,cluster_1
AN0299-C,cluster_1
AN0300-C,cluster_1
AN0301-Cx,cluster_1
AN0302-C,cluster_1
AN0303-C,cluster_1
AN0304-C,cluster_1
AN0305-C,cluster_1
AN0306-C,cluster_1
AN0307-C,cluster_1
AN0308-C,cluster_1
AN0309-Cx,cluster_1
AN0310-C,cluster_1
AN0311-C,cluster_1
AN0312-C,cluster_1
AN0313-C,cluster_1
AN0314-C,cluster_1
AN0315-C,cluster_1
AN0316-C,cluster_1
AN0317-C,cluster_1
AN0318-C,cluster_1
AN0319-C,cluster_1
AN0320-C,cluster_1
AN0321-C,cluster_1
AB0293-C,cluster_16
AB0294-C,cluster_16
AB0295-C,cluster_16
AB0297-C,cluster_16
AN0418-C,cluster_16
AN0419-C,cluster_16
AN0421-C,cluster_16
AN0423-C,cluster_16
AN0424-C,cluster_16
AN0425-C,cluster_16
AN0426-C,cluster_16
AN0427-C,cluster_16
AN0428-C,cluster_16
AN0430-C,cluster_16
AN0431-C,cluster_16
AN0433-C,cluster_18
AN0434-C,cluster_18
AN0435-C,cluster_18
AN0436-C,cluster_18
AN0437-C,cluster_18
AN0438-C,cluster_18
AN0440-C,cluster_18
AN0442-C,cluster_18
AN0443-C,cluster_22
AN0444-C,cluster_22
AN0445-C,cluster_22
AN0448-C,cluster_18
AN0449-C,cluster_18
AN0451-C,cluster_18
AN0453-C,cluster_16
AN0454-C,cluster_16
AN0455-C,cluster_16
AN0457-C,cluster_16
AN0458-C,cluster_16
AN0460-C,cluster_16
AN0466-C,cluster_16
AN0468-C,cluster_16
AN0469-C,cluster_16
AN0470-C,cluster_16
AN0471-C,cluster_16
AN0474-C,cluster_16
AN0475-C,cluster_16
AN0476-C,cluster_16
AN0477-C,cluster_16
AN0478-C,cluster_16
AN0479-C,cluster_16
AN0480-C,cluster_16
AN0485-C,cluster_20
AN0486-C,cluster_20
AN0487-C,cluster_20
AN0488-C,cluster_20
AN0492-C,cluster_20
AN0493-C,cluster_16
VBS02039-4431STDY6672907,cluster_23
VBS02040-4431STDY6672908,cluster_23
VBS02041-4431STDY6672909,cluster_23
VBS02042-4431STDY6672910,cluster_23
VBS02043-4431STDY6672911,cluster_23
VBS02044-4431STDY6672912,cluster_22
VBS02045-4431STDY6672913,cluster_18
VBS02046-4431STDY6672914,cluster_18
VBS02047-4431STDY6672915,cluster_24
VBS02048-4431STDY6672916,cluster_24
VBS02003-4431STDY6672871,cluster_16
VBS02004-4431STDY6672872,cluster_16
VBS02005-4431STDY6672873,cluster_16
VBS02006-4431STDY6672874,cluster_16
VBS02007-4431STDY6672875,cluster_16
VBS02008-4431STDY6672876,cluster_16
VBS02009-4431STDY6672877,cluster_16
VBS02010-4431STDY6672878,cluster_20
VBS02011-4431STDY6672879,cluster_20
VBS02012-4431STDY6672880,cluster_20
VBS02014-4431STDY6672882,cluster_20
VBS02015-4431STDY6672883,cluster_20
VBS02016-4431STDY6672884,cluster_20
VBS02017-4431STDY6672885,cluster_20
VBS02018-4431STDY6672886,cluster_20
VBS02020-4431STDY6672888,cluster_20
VBS02021-4431STDY6672889,cluster_20
VBS02022-4431STDY6672890,cluster_20
VBS02023-4431STDY6672891,cluster_20
VBS02024-4431STDY6672892,cluster_20
VBS02025-4431STDY6672893,cluster_20
VBS02026-4431STDY6672894,cluster_20
VBS02027-4431STDY6672895,cluster_20
VBS02028-4431STDY6672896,cluster_20
VBS02029-4431STDY6672897,cluster_20
VBS02030-4431STDY6672898,cluster_23
VBS02031-4431STDY6672899,cluster_23
VBS02032-4431STDY6672900,cluster_23
VBS02033-4431STDY6672901,cluster_23
VBS02034-4431STDY6672902,cluster_23
VBS02035-4431STDY6672903,cluster_23
VBS02036-4431STDY6672904,cluster_23
VBS02037-4431STDY6672905,cluster_23
VBS02038-4431STDY6672906,cluster_23
AN0348-C,cluster_18
AN0402-C,cluster_18
AN0325-C,cluster_23
AN0408-C,cluster_18
AN0344-C,cluster_18
AN0326-C,cluster_23
AN0341-C,cluster_20
AN0338-C,cluster_20
AN0379-C,cluster_23
AN0332-C,cluster_23
AN0585-CW,cluster_22
AN0577-CW,cluster_22
AN0586-CW,cluster_22
AN0601-CW,cluster_18
AN0616-CW,cluster_18
AN0544-CW,cluster_20
AN0578-CW,cluster_22
AN0587-CW,cluster_22
AN0619-CW,cluster_18
